recipe_id,co2e_kg,n_ingr,n_sr,n_exact,n_gen,usda_pct,exact_mass_pct,generic_pct
RCP01242,6.55725,8,3,2,3,37.5,25.0,37.5
RCP01243,12.877779999999998,6,3,1,2,50.0,16.7,33.3
RCP01244,11.8614325,12,7,2,3,58.3,16.7,25.0
RCP01245,14.48273,13,3,4,6,23.1,30.8,46.2
RCP01246,22.799950000000003,11,7,2,2,63.6,18.2,18.2
RCP01247,1.5149750000000002,5,3,1,1,60.0,20.0,20.0
RCP01248,13.739339999999999,6,3,1,2,50.0,16.7,33.3
RCP01249,1.40895,8,5,1,2,62.5,12.5,25.0
RCP01250,3.6755250000000004,9,5,3,1,55.6,33.3,11.1
RCP01251,2.88276,7,3,1,3,42.9,14.3,42.9
RCP01252,35.923891000000005,8,3,1,4,37.5,12.5,50.0
RCP01253,16.810650000000003,9,5,1,3,55.6,11.1,33.3
RCP01254,19.089701,17,6,3,8,35.3,17.6,47.1
RCP01255,6.725559999999999,8,5,1,2,62.5,12.5,25.0
RCP01256,0.5204,5,3,1,1,60.0,20.0,20.0
RCP01257,60.144795,9,6,2,1,66.7,22.2,11.1
RCP01258,4.618787,10,3,3,4,30.0,30.0,40.0
RCP01259,7.9410300000000005,7,4,1,2,57.1,14.3,28.6
RCP01260,19.94165,8,4,2,2,50.0,25.0,25.0
RCP01261,3.1923699999999995,12,8,2,2,66.7,16.7,16.7
RCP01262,19.522634999999998,9,4,2,3,44.4,22.2,33.3
RCP01263,0.37902,6,4,1,1,66.7,16.7,16.7
RCP01264,2.8250430000000004,10,5,3,2,50.0,30.0,20.0
RCP01265,12.0660135,12,4,3,5,33.3,25.0,41.7
RCP01266,12.753499999999999,11,7,1,3,63.6,9.1,27.3
RCP01267,22.320205,14,8,1,5,57.1,7.1,35.7
RCP01268,4.326122,8,4,2,2,50.0,25.0,25.0
RCP01269,17.82145,8,5,2,1,62.5,25.0,12.5
RCP01270,1.85304,11,5,2,4,45.5,18.2,36.4
RCP01271,8.399256999999999,10,4,1,5,40.0,10.0,50.0
RCP01272,2.40458,7,3,2,2,42.9,28.6,28.6
RCP01273,39.813449999999996,6,3,1,2,50.0,16.7,33.3
RCP01274,12.9238,8,3,1,4,37.5,12.5,50.0
RCP01275,18.16778,16,6,1,9,37.5,6.2,56.2
RCP01276,9.8427,5,2,1,2,40.0,20.0,40.0
RCP01277,52.90825,9,7,1,1,77.8,11.1,11.1
RCP01278,3.5605379999999993,13,8,3,2,61.5,23.1,15.4
RCP01279,34.887100000000004,7,2,2,3,28.6,28.6,42.9
RCP01280,8.012605,13,5,2,6,38.5,15.4,46.2
RCP01281,0.9522200000000001,10,7,1,2,70.0,10.0,20.0
RCP01282,7.222354,14,6,3,5,42.9,21.4,35.7
RCP01283,1.5722699999999998,8,5,1,2,62.5,12.5,25.0
RCP01284,12.410599999999999,6,3,1,2,50.0,16.7,33.3
RCP01285,35.70019,9,6,1,2,66.7,11.1,22.2
RCP01286,1.17207,8,6,1,1,75.0,12.5,12.5
RCP01287,10.11588,7,3,1,3,42.9,14.3,42.9
RCP01288,5.13906,14,11,1,2,78.6,7.1,14.3
RCP01289,3.5643150000000006,8,4,1,3,50.0,12.5,37.5
RCP01290,7.8433805,19,10,1,8,52.6,5.3,42.1
RCP01291,24.523770000000003,6,4,1,1,66.7,16.7,16.7
RCP01292,4.14065,7,4,1,2,57.1,14.3,28.6
RCP01293,4.54761,7,4,1,2,57.1,14.3,28.6
RCP01294,34.19535,6,3,1,2,50.0,16.7,33.3
RCP01295,13.90043,8,3,1,4,37.5,12.5,50.0
RCP01296,62.141135999999996,14,7,1,6,50.0,7.1,42.9
RCP01297,7.734595,11,4,1,6,36.4,9.1,54.5
RCP01298,22.677045000000003,14,9,2,3,64.3,14.3,21.4
RCP01299,62.88371000000001,16,7,4,5,43.8,25.0,31.2
RCP01300,11.5132475,14,8,3,3,57.1,21.4,21.4
RCP01301,24.053867499999996,8,3,2,3,37.5,25.0,37.5
RCP01302,11.156503,17,9,1,7,52.9,5.9,41.2
RCP01303,0.7652,5,3,1,1,60.0,20.0,20.0
RCP01304,1.03985,9,5,1,3,55.6,11.1,33.3
RCP01305,0.46894,6,4,1,1,66.7,16.7,16.7
RCP01306,19.950906999999997,8,4,1,3,50.0,12.5,37.5
RCP01307,5.80566,11,7,1,3,63.6,9.1,27.3
RCP01308,20.46711,10,5,1,4,50.0,10.0,40.0
RCP01309,7.329073999999999,19,11,1,7,57.9,5.3,36.8
RCP01310,17.140772,10,5,2,3,50.0,20.0,30.0
RCP01311,8.4702535,11,7,1,3,63.6,9.1,27.3
RCP01312,1.0489499999999998,10,5,2,3,50.0,20.0,30.0
RCP01313,2.3635274999999996,10,5,2,3,50.0,20.0,30.0
RCP01314,2.8120099999999995,13,8,1,4,61.5,7.7,30.8
RCP01315,2.270415,11,7,1,3,63.6,9.1,27.3
RCP01316,19.196522,16,6,4,6,37.5,25.0,37.5
RCP01317,21.880546,13,10,1,2,76.9,7.7,15.4
RCP01318,53.945539999999994,7,4,2,1,57.1,28.6,14.3
RCP01319,2.2908,13,8,1,4,61.5,7.7,30.8
RCP01320,30.80022,17,7,4,6,41.2,23.5,35.3
RCP01321,16.968945,17,9,2,6,52.9,11.8,35.3
RCP01322,23.709051499999998,19,8,3,8,42.1,15.8,42.1
RCP01323,2.922099999999999,19,10,3,6,52.6,15.8,31.6
RCP01324,59.620985000000005,13,6,1,6,46.2,7.7,46.2
RCP01325,0.889185,6,3,1,2,50.0,16.7,33.3
RCP01326,23.0065955,14,8,1,5,57.1,7.1,35.7
RCP01327,2.4758549999999997,9,6,1,2,66.7,11.1,22.2
RCP01328,2.6685350000000003,7,5,1,1,71.4,14.3,14.3
RCP01329,14.25923,18,11,3,4,61.1,16.7,22.2
RCP01330,29.612015500000002,8,3,2,3,37.5,25.0,37.5
RCP01331,2.5338799999999995,9,6,2,1,66.7,22.2,11.1
RCP01332,0.70184,8,5,1,2,62.5,12.5,25.0
RCP01333,22.436365,13,7,2,4,53.8,15.4,30.8
RCP01334,22.921784999999996,7,5,1,1,71.4,14.3,14.3
RCP01335,0.5579000000000001,5,2,1,2,40.0,20.0,40.0
RCP01336,7.130085,17,10,3,4,58.8,17.6,23.5
RCP01337,5.6882600000000005,13,5,3,5,38.5,23.1,38.5
RCP01338,46.20045,6,2,1,3,33.3,16.7,50.0
RCP01339,28.83416,8,4,2,2,50.0,25.0,25.0
RCP01340,20.798939999999998,6,2,2,2,33.3,33.3,33.3
RCP01341,22.857535000000002,11,6,3,2,54.5,27.3,18.2
RCP01342,18.858025,9,5,1,3,55.6,11.1,33.3
RCP01343,5.1161455,7,2,1,4,28.6,14.3,57.1
RCP01344,22.796585,9,3,2,4,33.3,22.2,44.4
RCP01345,15.525349999999998,9,4,1,4,44.4,11.1,44.4
RCP01346,2.3016,13,7,1,5,53.8,7.7,38.5
RCP01347,15.7696575,18,7,2,9,38.9,11.1,50.0
RCP01348,8.516552,11,6,2,3,54.5,18.2,27.3
RCP01349,6.966443,16,7,3,6,43.8,18.8,37.5
RCP01350,7.94114,7,3,2,2,42.9,28.6,28.6
RCP01351,0.95628,7,3,1,3,42.9,14.3,42.9
RCP01352,4.663285,13,5,2,6,38.5,15.4,46.2
RCP01353,4.007088,6,3,1,2,50.0,16.7,33.3
RCP01354,56.06996000000001,8,4,2,2,50.0,25.0,25.0
RCP01355,41.31394,10,5,1,4,50.0,10.0,40.0
RCP01356,9.139710000000001,9,4,1,4,44.4,11.1,44.4
RCP01357,10.645710000000001,7,3,2,2,42.9,28.6,28.6
RCP01358,19.2607,9,6,1,2,66.7,11.1,22.2
RCP01359,9.158602,17,7,3,7,41.2,17.6,41.2
RCP01360,18.529619999999998,10,3,4,3,30.0,40.0,30.0
RCP01361,9.859489999999997,19,10,4,5,52.6,21.1,26.3
RCP01362,12.556189000000002,19,10,3,6,52.6,15.8,31.6
RCP01363,0.56675,5,2,2,1,40.0,40.0,20.0
RCP01364,17.02985,12,5,2,5,41.7,16.7,41.7
RCP01365,13.434819999999998,6,2,1,3,33.3,16.7,50.0
RCP01366,9.289439999999999,6,3,1,2,50.0,16.7,33.3
RCP01367,12.787536,19,11,1,7,57.9,5.3,36.8
RCP01368,17.755129999999998,12,6,2,4,50.0,16.7,33.3
RCP01369,2.7687,9,4,1,4,44.4,11.1,44.4
RCP01370,32.58128599999999,19,11,2,6,57.9,10.5,31.6
RCP01371,27.471952999999996,14,9,1,4,64.3,7.1,28.6
RCP01372,27.057305,13,8,1,4,61.5,7.7,30.8
RCP01373,50.931205,11,5,3,3,45.5,27.3,27.3
RCP01374,4.027514999999999,12,7,3,2,58.3,25.0,16.7
RCP01375,32.546110999999996,9,5,1,3,55.6,11.1,33.3
RCP01376,33.33598549999999,9,5,2,2,55.6,22.2,22.2
RCP01377,12.451239999999999,13,8,1,4,61.5,7.7,30.8
RCP01378,39.8090015,11,6,1,4,54.5,9.1,36.4
RCP01379,16.64118,5,2,1,2,40.0,20.0,40.0
RCP01380,19.964699999999997,5,2,1,2,40.0,20.0,40.0
RCP01381,53.81403,5,3,1,1,60.0,20.0,20.0
RCP01382,1.8283399999999999,8,4,3,1,50.0,37.5,12.5
RCP01383,5.098885,17,8,2,7,47.1,11.8,41.2
RCP01384,2.5040299999999998,5,2,2,1,40.0,40.0,20.0
RCP01385,6.641335,14,4,2,8,28.6,14.3,57.1
RCP01386,38.409997999999995,18,11,1,6,61.1,5.6,33.3
RCP01387,0.9888600000000001,8,4,2,2,50.0,25.0,25.0
RCP01388,48.835975,14,7,1,6,50.0,7.1,42.9
RCP01389,20.32615,6,3,1,2,50.0,16.7,33.3
RCP01390,6.074662000000001,13,9,1,3,69.2,7.7,23.1
RCP01391,43.910968000000004,14,8,1,5,57.1,7.1,35.7
RCP01392,5.421535000000001,12,8,2,2,66.7,16.7,16.7
RCP01393,20.19724,8,5,1,2,62.5,12.5,25.0
RCP01394,3.930465,9,5,1,3,55.6,11.1,33.3
RCP01395,3.11009,12,7,1,4,58.3,8.3,33.3
RCP01396,12.409889999999999,13,6,3,4,46.2,23.1,30.8
RCP01397,1.841504,14,7,2,5,50.0,14.3,35.7
RCP01398,12.033231999999998,11,4,2,5,36.4,18.2,45.5
RCP01399,22.70311,6,2,2,2,33.3,33.3,33.3
RCP01400,8.838625,13,8,2,3,61.5,15.4,23.1
RCP01401,65.39271,8,4,1,3,50.0,12.5,37.5
RCP01402,53.13064,10,5,3,2,50.0,30.0,20.0
RCP01403,21.485815,12,7,1,4,58.3,8.3,33.3
RCP01404,17.980065,9,5,2,2,55.6,22.2,22.2
RCP01405,5.586592500000001,18,11,1,6,61.1,5.6,33.3
RCP01406,25.066131,17,7,4,6,41.2,23.5,35.3
RCP01407,24.199919999999995,6,2,2,2,33.3,33.3,33.3
RCP01408,24.45366,12,8,2,2,66.7,16.7,16.7
RCP01409,21.941209999999998,9,6,2,1,66.7,22.2,11.1
RCP01410,8.36862,7,3,1,3,42.9,14.3,42.9
RCP01411,41.19702,7,3,2,2,42.9,28.6,28.6
RCP01412,2.4466750000000004,14,11,1,2,78.6,7.1,14.3
RCP01413,17.549812500000005,15,8,1,6,53.3,6.7,40.0
RCP01414,2.1104299999999996,13,9,2,2,69.2,15.4,15.4
RCP01415,4.713100000000001,13,9,2,2,69.2,15.4,15.4
RCP01416,1.8441,8,5,1,2,62.5,12.5,25.0
RCP01417,19.44475,8,5,2,1,62.5,25.0,12.5
RCP01418,4.373760000000001,6,4,1,1,66.7,16.7,16.7
RCP01419,1.8347,7,4,1,2,57.1,14.3,28.6
RCP01420,3.0315950000000003,16,10,4,2,62.5,25.0,12.5
RCP01421,7.839709999999999,13,7,2,4,53.8,15.4,30.8
RCP01422,1.4539125,12,7,1,4,58.3,8.3,33.3
RCP01423,20.28928,8,4,1,3,50.0,12.5,37.5
RCP01424,4.87001,15,9,4,2,60.0,26.7,13.3
RCP01425,6.633193,18,8,2,8,44.4,11.1,44.4
RCP01426,0.68328,6,3,1,2,50.0,16.7,33.3
RCP01427,20.881464,13,5,2,6,38.5,15.4,46.2
RCP01428,17.153496,8,5,1,2,62.5,12.5,25.0
RCP01429,37.233329999999995,8,3,1,4,37.5,12.5,50.0
RCP01430,2.858025,12,4,4,4,33.3,33.3,33.3
RCP01431,2.12322,10,5,2,3,50.0,20.0,30.0
RCP01432,7.012805,14,5,2,7,35.7,14.3,50.0
RCP01433,47.808099999999996,19,10,2,7,52.6,10.5,36.8
RCP01434,11.68131,14,9,1,4,64.3,7.1,28.6
RCP01435,1.96471,9,5,2,2,55.6,22.2,22.2
RCP01436,23.52975,11,4,2,5,36.4,18.2,45.5
RCP01437,1.1011600000000001,11,7,1,3,63.6,9.1,27.3
RCP01438,5.35946,9,5,1,3,55.6,11.1,33.3
RCP01439,29.88929,14,8,4,2,57.1,28.6,14.3
RCP01440,1.4181024999999998,8,5,1,2,62.5,12.5,25.0
RCP01441,14.66925,9,5,2,2,55.6,22.2,22.2
RCP01442,0.44741,8,5,1,2,62.5,12.5,25.0
RCP01443,13.383119999999996,10,5,2,3,50.0,20.0,30.0
RCP01444,8.2400935,17,9,4,4,52.9,23.5,23.5
RCP01445,26.02242,10,5,1,4,50.0,10.0,40.0
RCP01446,18.056579999999997,15,6,4,5,40.0,26.7,33.3
RCP01447,23.694455,14,9,2,3,64.3,14.3,21.4
RCP01448,0.4944,5,2,1,2,40.0,20.0,40.0
RCP01449,1.0839,9,4,2,3,44.4,22.2,33.3
RCP01450,29.04665,5,2,1,2,40.0,20.0,40.0
RCP01451,6.5467794999999995,9,4,1,4,44.4,11.1,44.4
RCP01452,9.91498,9,4,1,4,44.4,11.1,44.4
RCP01453,7.37784,8,5,1,2,62.5,12.5,25.0
RCP01454,11.6575925,13,8,1,4,61.5,7.7,30.8
RCP01455,30.175551499999994,19,8,5,6,42.1,26.3,31.6
RCP01456,20.353315,14,5,2,7,35.7,14.3,50.0
RCP01457,33.984285,9,5,2,2,55.6,22.2,22.2
RCP01458,8.022219500000002,15,8,2,5,53.3,13.3,33.3
RCP01459,5.683854999999999,8,4,3,1,50.0,37.5,12.5
RCP01460,6.882490000000001,8,5,1,2,62.5,12.5,25.0
RCP01461,9.731694999999998,7,4,1,2,57.1,14.3,28.6
RCP01462,36.426874999999995,13,8,2,3,61.5,15.4,23.1
RCP01463,22.958231,12,4,1,7,33.3,8.3,58.3
RCP01464,10.370264999999998,7,3,1,3,42.9,14.3,42.9
RCP01465,11.66147,17,6,4,7,35.3,23.5,41.2
RCP01466,1.3740800000000002,12,8,1,3,66.7,8.3,25.0
RCP01467,18.762930999999995,6,2,2,2,33.3,33.3,33.3
RCP01468,35.74352,14,7,1,6,50.0,7.1,42.9
RCP01469,29.129344999999994,9,4,2,3,44.4,22.2,33.3
RCP01470,31.325867999999996,11,4,2,5,36.4,18.2,45.5
RCP01471,2.5233950000000003,9,6,1,2,66.7,11.1,22.2
RCP01472,4.201289999999999,10,5,2,3,50.0,20.0,30.0
RCP01473,1.99713,5,3,1,1,60.0,20.0,20.0
RCP01474,14.951945000000002,9,3,2,4,33.3,22.2,44.4
RCP01475,19.978505000000002,9,4,2,3,44.4,22.2,33.3
RCP01476,4.85811,11,7,3,1,63.6,27.3,9.1
RCP01477,7.0451,5,2,1,2,40.0,20.0,40.0
RCP01478,12.9617,5,2,1,2,40.0,20.0,40.0
RCP01479,0.72418,8,5,2,1,62.5,25.0,12.5
RCP01480,7.552109,10,7,1,2,70.0,10.0,20.0
RCP01481,18.150959999999998,6,3,1,2,50.0,16.7,33.3
RCP01482,26.033974999999998,16,9,1,6,56.2,6.2,37.5
RCP01483,6.818246500000001,10,5,3,2,50.0,30.0,20.0
RCP01484,13.961229999999999,10,5,1,4,50.0,10.0,40.0
RCP01485,9.160375,7,4,1,2,57.1,14.3,28.6
RCP01486,55.4334,19,8,5,6,42.1,26.3,31.6
RCP01487,0.9305399999999999,8,6,1,1,75.0,12.5,12.5
RCP01488,7.540479999999999,6,4,1,1,66.7,16.7,16.7
RCP01489,23.010424999999998,13,5,3,5,38.5,23.1,38.5
RCP01490,4.1727875,8,3,2,3,37.5,25.0,37.5
RCP01491,2.940395,11,6,2,3,54.5,18.2,27.3
RCP01492,6.705222,6,3,1,2,50.0,16.7,33.3
RCP01493,8.534189999999999,5,2,1,2,40.0,20.0,40.0
RCP01494,2.8738425,12,6,1,5,50.0,8.3,41.7
RCP01495,9.33896,13,7,2,4,53.8,15.4,30.8
RCP01496,12.551449999999999,6,3,2,1,50.0,33.3,16.7
RCP01497,1.7967999999999997,14,8,2,4,57.1,14.3,28.6
RCP01498,2.5307,6,3,2,1,50.0,33.3,16.7
RCP01499,0.7055,6,4,1,1,66.7,16.7,16.7
RCP01500,2.733795,6,4,1,1,66.7,16.7,16.7
RCP01501,1.8565,5,3,1,1,60.0,20.0,20.0
RCP01502,19.11832,18,11,3,4,61.1,16.7,22.2
RCP01503,10.2891635,13,7,3,3,53.8,23.1,23.1
RCP01504,8.12302,12,7,2,3,58.3,16.7,25.0
RCP01505,4.850598,7,2,2,3,28.6,28.6,42.9
RCP01506,21.57058,8,4,1,3,50.0,12.5,37.5
RCP01507,2.167407,10,4,2,4,40.0,20.0,40.0
RCP01508,9.045672,17,9,2,6,52.9,11.8,35.3
RCP01509,9.396749999999999,19,13,3,3,68.4,15.8,15.8
RCP01510,4.9938400000000005,14,6,4,4,42.9,28.6,28.6
RCP01511,5.87509,18,10,4,4,55.6,22.2,22.2
RCP01512,2.42739,7,4,1,2,57.1,14.3,28.6
RCP01513,6.29312,16,9,2,5,56.2,12.5,31.2
RCP01514,3.49577,14,7,2,5,50.0,14.3,35.7
RCP01515,4.397095,10,7,1,2,70.0,10.0,20.0
RCP01516,7.17027,8,4,2,2,50.0,25.0,25.0
RCP01517,28.32219,8,3,1,4,37.5,12.5,50.0
RCP01518,0.53745,6,3,1,2,50.0,16.7,33.3
RCP01519,2.66939,8,5,1,2,62.5,12.5,25.0
RCP01520,5.96764,8,4,1,3,50.0,12.5,37.5
RCP01521,4.2810500000000005,8,4,1,3,50.0,12.5,37.5
RCP01522,24.381270000000004,17,9,3,5,52.9,17.6,29.4
RCP01523,23.391151,12,6,3,3,50.0,25.0,25.0
RCP01524,4.142193000000001,13,6,3,4,46.2,23.1,30.8
RCP01525,6.661590000000001,9,5,1,3,55.6,11.1,33.3
RCP01526,6.503690000000001,8,4,2,2,50.0,25.0,25.0
RCP01527,2.94891,9,5,1,3,55.6,11.1,33.3
RCP01528,25.732619999999997,9,3,2,4,33.3,22.2,44.4
RCP01529,6.850974,14,7,1,6,50.0,7.1,42.9
RCP01530,0.553,5,3,1,1,60.0,20.0,20.0
RCP01531,16.102404,14,8,2,4,57.1,14.3,28.6
RCP01532,4.877500000000001,5,2,2,1,40.0,40.0,20.0
RCP01533,15.211337500000003,18,11,2,5,61.1,11.1,27.8
RCP01534,9.08617,9,4,1,4,44.4,11.1,44.4
RCP01535,32.537865000000004,12,7,1,4,58.3,8.3,33.3
RCP01536,7.33414,8,5,1,2,62.5,12.5,25.0
RCP01537,5.491250000000001,7,4,2,1,57.1,28.6,14.3
RCP01538,18.209899999999998,5,3,1,1,60.0,20.0,20.0
RCP01539,11.743750000000002,18,9,5,4,50.0,27.8,22.2
RCP01540,25.52195,6,3,2,1,50.0,33.3,16.7
RCP01541,7.65573,13,6,3,4,46.2,23.1,30.8
RCP01542,10.919596499999999,14,5,4,5,35.7,28.6,35.7
RCP01543,9.42149,12,6,2,4,50.0,16.7,33.3
RCP01544,22.218705999999997,12,4,2,6,33.3,16.7,50.0
RCP01545,5.7034,7,4,1,2,57.1,14.3,28.6
RCP01546,6.2755399999999995,9,6,1,2,66.7,11.1,22.2
RCP01547,0.8202499999999999,8,4,2,2,50.0,25.0,25.0
RCP01548,20.894099999999998,11,7,1,3,63.6,9.1,27.3
RCP01549,15.241231500000001,11,6,2,3,54.5,18.2,27.3
RCP01550,14.3795,13,5,2,6,38.5,15.4,46.2
RCP01551,6.6345,5,3,1,1,60.0,20.0,20.0
RCP01552,27.290969999999998,7,4,1,2,57.1,14.3,28.6
RCP01553,3.9361,10,5,2,3,50.0,20.0,30.0
RCP01554,7.57357,10,5,3,2,50.0,30.0,20.0
RCP01555,12.418800000000001,7,5,1,1,71.4,14.3,14.3
RCP01556,22.8724565,13,7,3,3,53.8,23.1,23.1
RCP01557,13.344,5,3,1,1,60.0,20.0,20.0
RCP01558,1.16328,7,4,1,2,57.1,14.3,28.6
RCP01559,0.643415,7,4,1,2,57.1,14.3,28.6
RCP01560,11.3783675,11,7,1,3,63.6,9.1,27.3
RCP01561,7.493906,16,9,4,3,56.2,25.0,18.8
RCP01562,19.005589999999998,5,3,1,1,60.0,20.0,20.0
RCP01563,7.547183000000001,14,7,2,5,50.0,14.3,35.7
RCP01564,3.29845,5,2,1,2,40.0,20.0,40.0
RCP01565,1.1907299999999998,9,7,1,1,77.8,11.1,11.1
RCP01566,5.8732500000000005,16,12,1,3,75.0,6.2,18.8
RCP01567,17.659349999999996,5,2,1,2,40.0,20.0,40.0
RCP01568,9.5224285,19,8,5,6,42.1,26.3,31.6
RCP01569,1.3276,11,8,2,1,72.7,18.2,9.1
RCP01570,1.8012499999999998,7,3,1,3,42.9,14.3,42.9
RCP01571,9.4972,7,2,1,4,28.6,14.3,57.1
RCP01572,2.4614450000000003,7,4,1,2,57.1,14.3,28.6
RCP01573,34.93993,9,5,2,2,55.6,22.2,22.2
RCP01574,8.458553,14,9,1,4,64.3,7.1,28.6
RCP01575,47.21941,10,4,2,4,40.0,20.0,40.0
RCP01576,1.228094,14,9,1,4,64.3,7.1,28.6
RCP01577,6.319425000000001,8,4,2,2,50.0,25.0,25.0
RCP01578,1.1222050000000001,10,5,1,4,50.0,10.0,40.0
RCP01579,0.45605,5,3,1,1,60.0,20.0,20.0
RCP01580,1.7955699999999997,9,5,2,2,55.6,22.2,22.2
RCP01581,16.66464,6,3,1,2,50.0,16.7,33.3
RCP01582,13.328729999999997,7,3,1,3,42.9,14.3,42.9
RCP01583,7.7723510000000005,11,6,2,3,54.5,18.2,27.3
RCP01584,0.8225699999999999,8,3,2,3,37.5,25.0,37.5
RCP01585,1.9489699999999996,8,3,2,3,37.5,25.0,37.5
RCP01586,1.86116,12,9,1,2,75.0,8.3,16.7
RCP01587,38.5659,11,5,3,3,45.5,27.3,27.3
RCP01588,12.613495000000002,14,8,1,5,57.1,7.1,35.7
RCP01589,7.404961000000001,12,7,2,3,58.3,16.7,25.0
RCP01590,33.17447000000001,11,6,2,3,54.5,18.2,27.3
RCP01591,57.195899999999995,10,7,2,1,70.0,20.0,10.0
RCP01592,7.3137300000000005,12,6,2,4,50.0,16.7,33.3
RCP01593,18.134515000000004,7,4,1,2,57.1,14.3,28.6
RCP01594,4.79335,9,6,1,2,66.7,11.1,22.2
RCP01595,7.529235999999999,13,6,2,5,46.2,15.4,38.5
RCP01596,29.884095,14,7,2,5,50.0,14.3,35.7
RCP01597,19.391745,14,9,3,2,64.3,21.4,14.3
RCP01598,4.7192894999999995,6,3,1,2,50.0,16.7,33.3
RCP01599,18.96765,6,4,1,1,66.7,16.7,16.7
RCP01600,2.5436849999999995,13,9,2,2,69.2,15.4,15.4
RCP01601,17.174911499999997,9,3,2,4,33.3,22.2,44.4
RCP01602,2.152775,14,7,3,4,50.0,21.4,28.6
RCP01603,49.46925,5,2,1,2,40.0,20.0,40.0
RCP01604,0.51295,8,5,1,2,62.5,12.5,25.0
RCP01605,4.960389999999999,7,4,1,2,57.1,14.3,28.6
RCP01606,36.47059,11,8,1,2,72.7,9.1,18.2
RCP01607,1.2386000000000001,9,4,1,4,44.4,11.1,44.4
RCP01608,8.388885,8,5,2,1,62.5,25.0,12.5
RCP01609,4.959015,8,2,2,4,25.0,25.0,50.0
RCP01610,26.5518,6,3,2,1,50.0,33.3,16.7
RCP01611,1.4274325,18,15,2,1,83.3,11.1,5.6
RCP01612,0.50649,7,5,1,1,71.4,14.3,14.3
RCP01613,24.360299999999995,11,7,1,3,63.6,9.1,27.3
RCP01614,9.7883,17,9,2,6,52.9,11.8,35.3
RCP01615,22.2776,8,4,1,3,50.0,12.5,37.5
RCP01616,13.523689999999997,14,8,3,3,57.1,21.4,21.4
RCP01617,5.8956290000000005,11,5,1,5,45.5,9.1,45.5
RCP01618,17.9236285,13,3,2,8,23.1,15.4,61.5
RCP01619,4.455642500000001,9,6,1,2,66.7,11.1,22.2
RCP01620,46.78892,8,5,1,2,62.5,12.5,25.0
RCP01621,6.806039999999999,13,9,2,2,69.2,15.4,15.4
RCP01622,17.789225,13,6,4,3,46.2,30.8,23.1
RCP01623,3.6957,12,7,2,3,58.3,16.7,25.0
RCP01624,6.885874,13,7,3,3,53.8,23.1,23.1
RCP01625,16.739459999999998,8,2,2,4,25.0,25.0,50.0
RCP01626,5.19725,11,7,2,2,63.6,18.2,18.2
RCP01627,4.653309999999999,8,4,3,1,50.0,37.5,12.5
RCP01628,2.8301899999999995,12,8,1,3,66.7,8.3,25.0
RCP01629,26.661550999999996,16,10,2,4,62.5,12.5,25.0
RCP01630,6.807284999999999,14,9,1,4,64.3,7.1,28.6
RCP01631,14.6889905,7,4,1,2,57.1,14.3,28.6
RCP01632,0.9884,5,3,1,1,60.0,20.0,20.0
RCP01633,0.7930199999999998,7,3,1,3,42.9,14.3,42.9
RCP01634,6.83269,6,4,1,1,66.7,16.7,16.7
RCP01635,14.052,13,8,1,4,61.5,7.7,30.8
RCP01636,8.00496,13,9,1,3,69.2,7.7,23.1
RCP01637,1.5161750000000003,14,8,3,3,57.1,21.4,21.4
RCP01638,2.502405,12,7,2,3,58.3,16.7,25.0
RCP01639,27.007619999999996,14,7,4,3,50.0,28.6,21.4
RCP01640,27.198909999999998,13,7,3,3,53.8,23.1,23.1
RCP01641,62.519200000000005,11,6,1,4,54.5,9.1,36.4
RCP01642,4.36232,14,9,3,2,64.3,21.4,14.3
RCP01643,6.724410000000001,7,3,1,3,42.9,14.3,42.9
RCP01644,17.535577500000002,9,6,1,2,66.7,11.1,22.2
RCP01645,5.721760000000001,9,5,1,3,55.6,11.1,33.3
RCP01646,15.7308,6,2,2,2,33.3,33.3,33.3
RCP01647,3.9439979999999997,14,5,4,5,35.7,28.6,35.7
RCP01648,10.38603,6,3,1,2,50.0,16.7,33.3
RCP01649,31.787699999999997,9,5,1,3,55.6,11.1,33.3
RCP01650,22.160437,18,13,1,4,72.2,5.6,22.2
RCP01651,2.19896,11,7,2,2,63.6,18.2,18.2
RCP01652,4.154305,9,6,1,2,66.7,11.1,22.2
RCP01653,3.5018800000000003,9,5,2,2,55.6,22.2,22.2
RCP01654,14.021415000000001,9,4,3,2,44.4,33.3,22.2
RCP01655,13.11343,5,2,1,2,40.0,20.0,40.0
RCP01656,9.740400000000001,7,3,2,2,42.9,28.6,28.6
RCP01657,5.537695000000001,14,7,3,4,50.0,21.4,28.6
RCP01658,2.5096499999999997,5,2,1,2,40.0,20.0,40.0
RCP01659,4.0644100000000005,15,9,1,5,60.0,6.7,33.3
RCP01660,0.53546,6,4,1,1,66.7,16.7,16.7
RCP01661,3.27539,11,6,2,3,54.5,18.2,27.3
RCP01662,8.6086,6,4,1,1,66.7,16.7,16.7
RCP01663,7.190653000000002,9,4,1,4,44.4,11.1,44.4
RCP01664,4.035,5,3,1,1,60.0,20.0,20.0
RCP01665,55.277489,19,12,1,6,63.2,5.3,31.6
RCP01666,26.037782999999997,8,4,2,2,50.0,25.0,25.0
RCP01667,14.14748,10,5,2,3,50.0,20.0,30.0
RCP01668,9.522450000000001,12,8,2,2,66.7,16.7,16.7
RCP01669,15.105625,14,6,3,5,42.9,21.4,35.7
RCP01670,17.632229999999996,9,5,1,3,55.6,11.1,33.3
