recipe_id,co2e_kg,n_ingr,n_sr,n_gen,usda_pct,generic_pct
RCP02150,6.24179,8,4,4,50.0,50.0
RCP02151,12.774493000000001,14,8,6,57.1,42.9
RCP02152,2.7504,8,3,5,37.5,62.5
RCP02153,13.230912,8,4,4,50.0,50.0
RCP02154,0.9611700000000001,6,4,2,66.7,33.3
RCP02155,6.488989999999999,7,4,3,57.1,42.9
RCP02156,29.721602999999995,14,6,8,42.9,57.1
RCP02157,4.59434,9,7,2,77.8,22.2
RCP02158,5.194361499999999,19,10,9,52.6,47.4
RCP02159,6.10203,8,5,3,62.5,37.5
RCP02160,40.461132000000006,11,6,5,54.5,45.5
RCP02161,9.730559999999999,5,3,2,60.0,40.0
RCP02162,11.976930000000001,11,5,6,45.5,54.5
RCP02163,9.408857,16,12,4,75.0,25.0
RCP02164,18.5482045,17,8,9,47.1,52.9
RCP02165,2.10008,10,4,6,40.0,60.0
RCP02166,1.2912485,7,3,4,42.9,57.1
RCP02167,6.762869999999999,10,5,5,50.0,50.0
RCP02168,16.944660000000002,14,8,6,57.1,42.9
RCP02169,1.8898899999999998,8,5,3,62.5,37.5
RCP02170,12.107647499999999,10,6,4,60.0,40.0
RCP02171,0.9600650000000001,9,6,3,66.7,33.3
RCP02172,6.1886399999999995,16,12,4,75.0,25.0
RCP02173,39.527229999999996,6,2,4,33.3,66.7
RCP02174,9.096279999999998,12,9,3,75.0,25.0
RCP02175,6.399194,8,5,3,62.5,37.5
RCP02176,14.59593,8,4,4,50.0,50.0
RCP02177,8.269587,7,4,3,57.1,42.9
RCP02178,21.083601,17,9,8,52.9,47.1
RCP02179,34.347714999999994,9,4,5,44.4,55.6
RCP02180,4.4198455,10,4,6,40.0,60.0
RCP02181,18.996368999999998,11,6,5,54.5,45.5
RCP02182,3.3275529999999995,8,4,4,50.0,50.0
RCP02183,13.314385499999998,8,5,3,62.5,37.5
RCP02184,34.956329999999994,9,5,4,55.6,44.4
RCP02185,3.466395,5,3,2,60.0,40.0
RCP02186,45.61237099999999,18,9,9,50.0,50.0
RCP02187,2.002757,12,5,7,41.7,58.3
RCP02188,10.00527,13,8,5,61.5,38.5
RCP02189,38.59859,13,5,8,38.5,61.5
RCP02190,34.127875,13,6,7,46.2,53.8
RCP02191,10.258324999999997,11,6,5,54.5,45.5
RCP02192,3.9331524999999994,10,5,5,50.0,50.0
RCP02193,18.0548055,6,4,2,66.7,33.3
RCP02194,3.1259970000000004,11,7,4,63.6,36.4
RCP02195,12.865350000000001,6,3,3,50.0,50.0
RCP02196,2.483025,15,10,5,66.7,33.3
RCP02197,10.55442,7,4,3,57.1,42.9
RCP02198,8.457041000000002,14,9,5,64.3,35.7
RCP02199,1.5507,12,6,6,50.0,50.0
RCP02200,8.6248855,13,9,4,69.2,30.8
RCP02201,11.006245,14,9,5,64.3,35.7
RCP02202,5.879245000000001,8,4,4,50.0,50.0
RCP02203,3.39862,14,9,5,64.3,35.7
RCP02204,3.14672,9,3,6,33.3,66.7
RCP02205,6.018885999999999,14,7,7,50.0,50.0
RCP02206,0.62464,5,3,2,60.0,40.0
RCP02207,9.525029000000002,15,9,6,60.0,40.0
RCP02208,2.306937,8,3,5,37.5,62.5
RCP02209,9.318719999999999,5,3,2,60.0,40.0
RCP02210,5.1011500000000005,14,8,6,57.1,42.9
RCP02211,3.787835,8,4,4,50.0,50.0
RCP02212,11.515444,7,4,3,57.1,42.9
RCP02213,3.28923,12,6,6,50.0,50.0
RCP02214,23.90626,14,9,5,64.3,35.7
RCP02215,6.29974,9,6,3,66.7,33.3
RCP02216,12.249955,14,8,6,57.1,42.9
RCP02217,5.2910605,14,8,6,57.1,42.9
RCP02218,4.299465,8,3,5,37.5,62.5
RCP02219,1.5661100000000001,7,3,4,42.9,57.1
RCP02220,18.393265,12,7,5,58.3,41.7
RCP02221,22.161944999999996,5,3,2,60.0,40.0
RCP02222,5.76291,8,4,4,50.0,50.0
RCP02223,19.403489,14,9,5,64.3,35.7
RCP02224,17.066118,18,13,5,72.2,27.8
RCP02225,6.99507,5,3,2,60.0,40.0
RCP02226,3.01911,7,4,3,57.1,42.9
RCP02227,8.277754,13,9,4,69.2,30.8
RCP02228,1.6199999999999999,5,3,2,60.0,40.0
RCP02229,31.482345,16,11,5,68.8,31.2
RCP02230,20.3395755,17,9,8,52.9,47.1
RCP02231,52.705170499999994,9,6,3,66.7,33.3
RCP02232,30.421608,10,6,4,60.0,40.0
RCP02233,11.7646485,13,7,6,53.8,46.2
RCP02234,7.697518,8,3,5,37.5,62.5
RCP02235,1.443756,8,5,3,62.5,37.5
RCP02236,2.8756639999999996,8,5,3,62.5,37.5
RCP02237,6.049695,12,5,7,41.7,58.3
RCP02238,16.7776635,15,9,6,60.0,40.0
RCP02239,33.38643,9,4,5,44.4,55.6
RCP02240,14.781590000000001,7,4,3,57.1,42.9
RCP02241,8.286503999999999,5,2,3,40.0,60.0
RCP02242,9.022357000000001,11,7,4,63.6,36.4
RCP02243,3.251425,13,6,7,46.2,53.8
RCP02244,8.279789999999998,5,2,3,40.0,60.0
RCP02245,7.273274999999999,7,4,3,57.1,42.9
RCP02246,11.889712999999999,18,10,8,55.6,44.4
RCP02247,4.342993,15,8,7,53.3,46.7
RCP02248,2.54437,12,5,7,41.7,58.3
RCP02249,9.80777,13,8,5,61.5,38.5
RCP02250,32.215619000000004,14,10,4,71.4,28.6
RCP02251,9.641963,13,4,9,30.8,69.2
RCP02252,1.791866,13,9,4,69.2,30.8
RCP02253,4.251596,13,6,7,46.2,53.8
RCP02254,6.85542,7,5,2,71.4,28.6
RCP02255,2.09539,9,6,3,66.7,33.3
RCP02256,4.813886,10,4,6,40.0,60.0
RCP02257,1.012286,7,5,2,71.4,28.6
RCP02258,17.54028,7,5,2,71.4,28.6
RCP02259,8.964399999999998,7,3,4,42.9,57.1
RCP02260,53.74855350000001,17,8,9,47.1,52.9
RCP02261,7.4569849999999995,10,4,6,40.0,60.0
RCP02262,26.6628,6,3,3,50.0,50.0
RCP02263,4.47019,10,3,7,30.0,70.0
RCP02264,20.111072999999998,11,6,5,54.5,45.5
RCP02265,2.4342409999999997,9,5,4,55.6,44.4
RCP02266,26.145554999999995,14,4,10,28.6,71.4
RCP02267,6.130095000000001,9,6,3,66.7,33.3
RCP02268,10.6814155,18,11,7,61.1,38.9
RCP02269,24.203059500000002,18,7,11,38.9,61.1
RCP02270,33.696308,13,9,4,69.2,30.8
RCP02271,9.850449999999999,12,7,5,58.3,41.7
RCP02272,8.75229,8,6,2,75.0,25.0
RCP02273,20.702885000000002,12,7,5,58.3,41.7
RCP02274,9.562344999999999,10,5,5,50.0,50.0
RCP02275,3.84814,8,3,5,37.5,62.5
RCP02276,5.926652,9,3,6,33.3,66.7
RCP02277,36.814140499999986,13,7,6,53.8,46.2
RCP02278,10.361129999999998,7,5,2,71.4,28.6
RCP02279,29.817539999999997,7,4,3,57.1,42.9
RCP02280,8.4993,8,5,3,62.5,37.5
RCP02281,20.55609,9,5,4,55.6,44.4
RCP02282,7.156649999999999,7,4,3,57.1,42.9
RCP02283,13.45562,8,4,4,50.0,50.0
RCP02284,11.35765,16,8,8,50.0,50.0
RCP02285,46.341719999999995,8,3,5,37.5,62.5
RCP02286,21.180229,12,7,5,58.3,41.7
RCP02287,1.76692,8,5,3,62.5,37.5
RCP02288,9.17181,7,4,3,57.1,42.9
RCP02289,29.722569999999997,16,9,7,56.2,43.8
RCP02290,9.200230500000002,6,3,3,50.0,50.0
RCP02291,10.03745,5,2,3,40.0,60.0
RCP02292,5.903524,8,5,3,62.5,37.5
RCP02293,20.79478,6,3,3,50.0,50.0
RCP02294,22.982729999999997,12,7,5,58.3,41.7
RCP02295,69.07983,9,4,5,44.4,55.6
RCP02296,10.989410000000001,12,6,6,50.0,50.0
RCP02297,22.405864,7,2,5,28.6,71.4
RCP02298,25.6095,5,2,3,40.0,60.0
RCP02299,21.28076,8,5,3,62.5,37.5
RCP02300,14.453571,18,11,7,61.1,38.9
RCP02301,0.86637,5,3,2,60.0,40.0
RCP02302,23.473968499999998,11,4,7,36.4,63.6
RCP02303,11.203166500000004,14,7,7,50.0,50.0
RCP02304,12.438834499999999,15,7,8,46.7,53.3
RCP02305,40.4193095,8,3,5,37.5,62.5
RCP02306,2.9518000000000004,7,4,3,57.1,42.9
RCP02307,8.7944665,12,7,5,58.3,41.7
RCP02308,18.351258499999997,12,6,6,50.0,50.0
RCP02309,11.177049999999998,5,2,3,40.0,60.0
RCP02310,20.648763000000002,12,6,6,50.0,50.0
RCP02311,3.269025,8,3,5,37.5,62.5
RCP02312,27.412553000000003,12,8,4,66.7,33.3
RCP02313,14.4192995,18,9,9,50.0,50.0
RCP02314,3.744854,19,8,11,42.1,57.9
RCP02315,3.98602,13,6,7,46.2,53.8
RCP02316,55.24190599999999,13,4,9,30.8,69.2
RCP02317,1.3709305,8,5,3,62.5,37.5
RCP02318,78.5175075,14,7,7,50.0,50.0
RCP02319,33.631414500000005,15,8,7,53.3,46.7
RCP02320,39.297760999999994,17,8,9,47.1,52.9
RCP02321,7.778079999999999,5,3,2,60.0,40.0
RCP02322,41.1324915,13,5,8,38.5,61.5
RCP02323,3.3196489999999996,14,10,4,71.4,28.6
RCP02324,32.970752999999995,7,4,3,57.1,42.9
RCP02325,2.720755,7,3,4,42.9,57.1
RCP02326,21.165535,14,6,8,42.9,57.1
RCP02327,1.14616,6,3,3,50.0,50.0
RCP02328,8.55053,8,5,3,62.5,37.5
RCP02329,12.461726999999998,10,5,5,50.0,50.0
RCP02330,1.08332,8,5,3,62.5,37.5
RCP02331,1.85694,9,5,4,55.6,44.4
RCP02332,5.302824,12,6,6,50.0,50.0
RCP02333,1.681821,5,2,3,40.0,60.0
RCP02334,0.8447800000000001,5,2,3,40.0,60.0
RCP02335,2.1857800000000003,6,2,4,33.3,66.7
RCP02336,10.749119999999998,16,10,6,62.5,37.5
RCP02337,17.90625,7,3,4,42.9,57.1
RCP02338,2.2323395,7,3,4,42.9,57.1
RCP02339,50.2409735,9,3,6,33.3,66.7
RCP02340,6.6403315,14,8,6,57.1,42.9
RCP02341,1.03234,7,3,4,42.9,57.1
RCP02342,12.805762,13,8,5,61.5,38.5
RCP02343,10.2052255,16,8,8,50.0,50.0
RCP02344,4.899455,16,10,6,62.5,37.5
RCP02345,19.29114,8,6,2,75.0,25.0
RCP02346,33.14529999999999,12,7,5,58.3,41.7
RCP02347,1.9286699999999999,6,4,2,66.7,33.3
RCP02348,1.34298,9,3,6,33.3,66.7
RCP02349,28.627613999999994,18,12,6,66.7,33.3
RCP02350,18.809235999999995,14,5,9,35.7,64.3
RCP02351,14.937702,19,8,11,42.1,57.9
RCP02352,0.74822,6,3,3,50.0,50.0
RCP02353,5.538195,8,5,3,62.5,37.5
RCP02354,2.4801399999999996,9,5,4,55.6,44.4
RCP02355,0.8446400000000002,5,3,2,60.0,40.0
RCP02356,16.18928,8,4,4,50.0,50.0
RCP02357,7.517841999999998,15,9,6,60.0,40.0
RCP02358,1.924473,8,6,2,75.0,25.0
RCP02359,1.19005,5,2,3,40.0,60.0
RCP02360,42.943236000000006,7,4,3,57.1,42.9
RCP02361,39.818472,18,9,9,50.0,50.0
RCP02362,17.132456,11,8,3,72.7,27.3
RCP02363,16.835299999999997,6,2,4,33.3,66.7
RCP02364,34.172025000000005,11,5,6,45.5,54.5
RCP02365,7.70526,5,3,2,60.0,40.0
RCP02366,21.54854,8,5,3,62.5,37.5
RCP02367,8.7266,8,5,3,62.5,37.5
RCP02368,52.556703999999996,12,4,8,33.3,66.7
RCP02369,1.650225,8,5,3,62.5,37.5
RCP02370,4.006575,18,11,7,61.1,38.9
RCP02371,1.0556800000000002,5,2,3,40.0,60.0
RCP02372,10.79553,8,4,4,50.0,50.0
RCP02373,1.9399199999999999,14,9,5,64.3,35.7
RCP02374,7.636559999999999,5,2,3,40.0,60.0
RCP02375,23.793642,13,7,6,53.8,46.2
RCP02376,3.9083849999999996,7,5,2,71.4,28.6
RCP02377,1.0571000000000002,5,3,2,60.0,40.0
RCP02378,22.3439895,7,4,3,57.1,42.9
RCP02379,34.564657,9,5,4,55.6,44.4
RCP02380,50.937075,7,5,2,71.4,28.6
RCP02381,3.5008449999999995,14,9,5,64.3,35.7
RCP02382,8.107185500000002,15,10,5,66.7,33.3
RCP02383,3.624183,14,8,6,57.1,42.9
RCP02384,11.666705,11,5,6,45.5,54.5
RCP02385,26.31999,9,5,4,55.6,44.4
RCP02386,1.8303,10,3,7,30.0,70.0
RCP02387,7.109173500000001,13,8,5,61.5,38.5
RCP02388,1.466746,8,5,3,62.5,37.5
RCP02389,9.0702755,18,7,11,38.9,61.1
RCP02390,19.017293000000002,14,8,6,57.1,42.9
RCP02391,9.605044999999999,12,9,3,75.0,25.0
RCP02392,35.966835,5,3,2,60.0,40.0
RCP02393,1.544095,15,10,5,66.7,33.3
RCP02394,10.932567999999998,15,8,7,53.3,46.7
RCP02395,14.830428499999998,13,10,3,76.9,23.1
RCP02396,8.106835,7,4,3,57.1,42.9
RCP02397,13.056146,13,6,7,46.2,53.8
RCP02398,25.147716000000003,7,4,3,57.1,42.9
RCP02399,2.9560500000000003,5,3,2,60.0,40.0
RCP02400,57.47266,13,7,6,53.8,46.2
RCP02401,36.5629,12,7,5,58.3,41.7
RCP02402,6.081313,13,11,2,84.6,15.4
RCP02403,6.94625,5,2,3,40.0,60.0
RCP02404,12.071265,8,6,2,75.0,25.0
RCP02405,2.304797,7,3,4,42.9,57.1
RCP02406,11.996739999999999,9,5,4,55.6,44.4
RCP02407,1.4785055,9,4,5,44.4,55.6
RCP02408,18.80071,14,7,7,50.0,50.0
RCP02409,59.01846,8,6,2,75.0,25.0
RCP02410,9.07907,14,11,3,78.6,21.4
RCP02411,15.2289075,19,10,9,52.6,47.4
RCP02412,10.98874,17,8,9,47.1,52.9
RCP02413,5.016415,13,9,4,69.2,30.8
RCP02414,32.843365000000006,13,6,7,46.2,53.8
RCP02415,25.60163,13,9,4,69.2,30.8
RCP02416,25.08918,6,4,2,66.7,33.3
RCP02417,20.6873,8,3,5,37.5,62.5
RCP02418,8.966789999999998,7,3,4,42.9,57.1
RCP02419,4.4128,12,5,7,41.7,58.3
RCP02420,6.801574999999999,9,5,4,55.6,44.4
RCP02421,5.981712,9,6,3,66.7,33.3
RCP02422,6.201287499999999,17,5,12,29.4,70.6
RCP02423,15.716576499999999,19,13,6,68.4,31.6
RCP02424,14.300934999999999,19,11,8,57.9,42.1
RCP02425,8.947788000000001,11,6,5,54.5,45.5
RCP02426,12.13017,6,4,2,66.7,33.3
RCP02427,14.405575999999998,9,4,5,44.4,55.6
RCP02428,27.538696500000004,12,6,6,50.0,50.0
RCP02429,16.2394,6,2,4,33.3,66.7
RCP02430,5.6471785,18,11,7,61.1,38.9
RCP02431,8.46984,6,3,3,50.0,50.0
RCP02432,2.50115,8,4,4,50.0,50.0
RCP02433,19.431722999999998,6,3,3,50.0,50.0
RCP02434,1.78688,8,5,3,62.5,37.5
RCP02435,21.15465,6,3,3,50.0,50.0
RCP02436,8.3993965,14,9,5,64.3,35.7
RCP02437,5.8281244999999995,13,6,7,46.2,53.8
RCP02438,1.3844,9,5,4,55.6,44.4
RCP02439,4.088150000000001,6,2,4,33.3,66.7
RCP02440,56.67571,13,8,5,61.5,38.5
RCP02441,9.889421,7,2,5,28.6,71.4
RCP02442,1.9958200000000001,9,5,4,55.6,44.4
RCP02443,1.2025000000000001,6,3,3,50.0,50.0
RCP02444,15.747560000000002,12,6,6,50.0,50.0
RCP02445,4.5612639999999995,13,7,6,53.8,46.2
RCP02446,23.731685000000002,12,4,8,33.3,66.7
RCP02447,2.8732100000000003,9,4,5,44.4,55.6
RCP02448,4.519839999999999,7,5,2,71.4,28.6
RCP02449,1.24635,7,3,4,42.9,57.1
RCP02450,7.007407999999998,14,7,7,50.0,50.0
RCP02451,2.9886090000000003,7,5,2,71.4,28.6
RCP02452,9.923869999999999,6,2,4,33.3,66.7
RCP02453,24.399785999999995,7,4,3,57.1,42.9
RCP02454,2.736103,9,3,6,33.3,66.7
RCP02455,4.232544000000001,12,6,6,50.0,50.0
RCP02456,3.57232,9,5,4,55.6,44.4
RCP02457,41.462830000000004,9,5,4,55.6,44.4
RCP02458,11.394739999999999,9,4,5,44.4,55.6
RCP02459,0.7248239999999999,5,2,3,40.0,60.0
RCP02460,22.291141499999995,13,6,7,46.2,53.8
RCP02461,9.454865,9,7,2,77.8,22.2
RCP02462,37.212036999999995,19,10,9,52.6,47.4
RCP02463,24.107379000000005,13,6,7,46.2,53.8
RCP02464,50.165313,5,3,2,60.0,40.0
RCP02465,9.851417999999999,15,6,9,40.0,60.0
RCP02466,29.14248,10,4,6,40.0,60.0
RCP02467,2.7899650000000005,13,7,6,53.8,46.2
RCP02468,8.768261,9,6,3,66.7,33.3
RCP02469,55.00274999999999,7,4,3,57.1,42.9
RCP02470,3.6113999999999997,10,6,4,60.0,40.0
RCP02471,7.578017,9,6,3,66.7,33.3
RCP02472,10.1572285,14,8,6,57.1,42.9
RCP02473,5.058456,9,4,5,44.4,55.6
RCP02474,2.5930105,9,6,3,66.7,33.3
RCP02475,11.976524999999999,8,4,4,50.0,50.0
RCP02476,3.51226,9,4,5,44.4,55.6
RCP02477,1.52195,8,4,4,50.0,50.0
RCP02478,17.702185,5,3,2,60.0,40.0
RCP02479,29.84604,8,4,4,50.0,50.0
RCP02480,34.9292985,17,6,11,35.3,64.7
RCP02481,4.4782,12,5,7,41.7,58.3
RCP02482,36.17581599999999,11,7,4,63.6,36.4
RCP02483,6.986489999999999,10,4,6,40.0,60.0
RCP02484,0.66515,5,3,2,60.0,40.0
RCP02485,4.487306,10,4,6,40.0,60.0
RCP02486,21.960030500000002,12,4,8,33.3,66.7
RCP02487,8.687932,9,4,5,44.4,55.6
RCP02488,7.474083500000001,14,5,9,35.7,64.3
RCP02489,5.2386,7,3,4,42.9,57.1
RCP02490,1.1751,5,2,3,40.0,60.0
RCP02491,5.272325,9,6,3,66.7,33.3
RCP02492,1.0093800000000002,5,3,2,60.0,40.0
RCP02493,0.734885,5,3,2,60.0,40.0
RCP02494,6.947488,12,7,5,58.3,41.7
RCP02495,9.171583,8,4,4,50.0,50.0
RCP02496,35.712320000000005,11,6,5,54.5,45.5
RCP02497,12.997261000000004,16,13,3,81.2,18.8
RCP02498,53.366339499999995,14,7,7,50.0,50.0
RCP02499,26.712047499999997,14,4,10,28.6,71.4
RCP02500,9.459042,12,5,7,41.7,58.3
RCP02501,1.27713,7,3,4,42.9,57.1
RCP02502,9.0806385,11,7,4,63.6,36.4
RCP02503,18.567703,11,6,5,54.5,45.5
RCP02504,18.199613,9,4,5,44.4,55.6
RCP02505,21.369184,11,6,5,54.5,45.5
RCP02506,28.8080325,10,4,6,40.0,60.0
RCP02507,4.2636985,8,5,3,62.5,37.5
RCP02508,2.5075209999999997,8,3,5,37.5,62.5
RCP02509,5.314961499999999,11,6,5,54.5,45.5
RCP02510,0.9286099999999999,8,3,5,37.5,62.5
RCP02511,10.922955,8,3,5,37.5,62.5
RCP02512,46.978126,13,5,8,38.5,61.5
RCP02513,1.7374985,10,7,3,70.0,30.0
RCP02514,1.48766,5,2,3,40.0,60.0
RCP02515,7.920565,14,6,8,42.9,57.1
RCP02516,27.7997665,14,8,6,57.1,42.9
RCP02517,6.68748,10,6,4,60.0,40.0
RCP02518,18.792938499999998,13,8,5,61.5,38.5
RCP02519,1.47546,7,5,2,71.4,28.6
RCP02520,4.470940499999999,14,6,8,42.9,57.1
RCP02521,4.8151,5,2,3,40.0,60.0
RCP02522,2.9423460000000006,10,7,3,70.0,30.0
RCP02523,30.582253499999997,9,4,5,44.4,55.6
RCP02524,8.262745,7,4,3,57.1,42.9
RCP02525,7.05953,7,4,3,57.1,42.9
RCP02526,3.1257699999999997,13,8,5,61.5,38.5
RCP02527,24.452291,6,3,3,50.0,50.0
RCP02528,22.155344999999997,13,8,5,61.5,38.5
RCP02529,1.0700999999999998,5,3,2,60.0,40.0
RCP02530,22.130612499999994,10,6,4,60.0,40.0
RCP02531,2.2296199999999997,11,7,4,63.6,36.4
RCP02532,2.23536,9,6,3,66.7,33.3
RCP02533,3.9905600000000003,13,8,5,61.5,38.5
RCP02534,21.328767999999997,18,9,9,50.0,50.0
RCP02535,11.259746499999999,12,5,7,41.7,58.3
RCP02536,16.62725,6,4,2,66.7,33.3
RCP02537,7.80178,7,3,4,42.9,57.1
RCP02538,5.593145,10,7,3,70.0,30.0
RCP02539,24.32433,8,5,3,62.5,37.5
RCP02540,8.713137,12,8,4,66.7,33.3
RCP02541,1.7385000000000002,6,2,4,33.3,66.7
RCP02542,21.9396255,8,4,4,50.0,50.0
RCP02543,9.942079999999999,9,4,5,44.4,55.6
RCP02544,22.297770499999995,9,4,5,44.4,55.6
RCP02545,16.247391000000004,7,4,3,57.1,42.9
RCP02546,2.2548749999999997,13,8,5,61.5,38.5
RCP02547,10.110330999999999,11,4,7,36.4,63.6
RCP02548,15.041619999999998,10,5,5,50.0,50.0
RCP02549,2.85245,7,4,3,57.1,42.9
RCP02550,4.502361,7,3,4,42.9,57.1
RCP02551,2.1779999999999995,10,6,4,60.0,40.0
RCP02552,4.986275,8,6,2,75.0,25.0
RCP02553,9.145419999999998,12,6,6,50.0,50.0
RCP02554,1.541745,5,3,2,60.0,40.0
RCP02555,13.468522,16,12,4,75.0,25.0
RCP02556,8.666547000000001,8,2,6,25.0,75.0
RCP02557,3.01542,9,5,4,55.6,44.4
RCP02558,15.402133,13,6,7,46.2,53.8
RCP02559,8.42965,12,7,5,58.3,41.7
RCP02560,1.6179299999999999,6,3,3,50.0,50.0
RCP02561,19.049073,11,7,4,63.6,36.4
RCP02562,9.00558,5,2,3,40.0,60.0
RCP02563,21.3752,11,5,6,45.5,54.5
RCP02564,9.830249999999998,8,4,4,50.0,50.0
RCP02565,17.907306000000002,8,3,5,37.5,62.5
RCP02566,0.6251085000000001,6,4,2,66.7,33.3
RCP02567,45.29002,5,2,3,40.0,60.0
RCP02568,19.42846,5,2,3,40.0,60.0
RCP02569,52.475218000000005,13,6,7,46.2,53.8
RCP02570,1.860116,16,10,6,62.5,37.5
RCP02571,18.264445000000002,9,5,4,55.6,44.4
RCP02572,1.8948600000000002,9,5,4,55.6,44.4
RCP02573,1.6484,7,3,4,42.9,57.1
RCP02574,3.62235,8,4,4,50.0,50.0
RCP02575,4.063304499999999,13,9,4,69.2,30.8
RCP02576,14.78979,6,3,3,50.0,50.0
RCP02577,10.772904999999998,9,4,5,44.4,55.6
RCP02578,5.87655,5,2,3,40.0,60.0
RCP02579,1.7966199999999999,7,4,3,57.1,42.9
RCP02580,18.5775325,8,5,3,62.5,37.5
RCP02581,3.5718,5,3,2,60.0,40.0
RCP02582,7.507946500000001,12,5,7,41.7,58.3
RCP02583,14.58302,10,4,6,40.0,60.0
RCP02584,29.691525,5,3,2,60.0,40.0
RCP02585,20.061819999999997,14,7,7,50.0,50.0
RCP02586,1.1194950000000001,8,4,4,50.0,50.0
RCP02587,4.538693,12,7,5,58.3,41.7
RCP02588,17.60898,9,4,5,44.4,55.6
RCP02589,11.966084,12,8,4,66.7,33.3
RCP02590,3.7221699999999993,11,4,7,36.4,63.6
RCP02591,3.5385315,13,8,5,61.5,38.5
RCP02592,5.437400500000002,14,9,5,64.3,35.7
RCP02593,7.480854,5,3,2,60.0,40.0
RCP02594,5.576882,18,10,8,55.6,44.4
RCP02595,2.3568230000000003,11,6,5,54.5,45.5
RCP02596,7.116867500000001,8,3,5,37.5,62.5
RCP02597,27.422580499999995,19,14,5,73.7,26.3
RCP02598,2.0888199999999997,8,4,4,50.0,50.0
RCP02599,42.75440499999999,9,5,4,55.6,44.4
RCP02600,2.14981,12,8,4,66.7,33.3
RCP02601,1.854913,9,4,5,44.4,55.6
RCP02602,1.37948,7,3,4,42.9,57.1
RCP02603,4.3380399999999995,9,3,6,33.3,66.7
RCP02604,2.0918200000000002,10,6,4,60.0,40.0
RCP02605,18.766469999999998,8,4,4,50.0,50.0
RCP02606,2.173544,9,5,4,55.6,44.4
RCP02607,1.52881,8,3,5,37.5,62.5
RCP02608,0.61836,5,3,2,60.0,40.0
RCP02609,7.2746699999999995,15,8,7,53.3,46.7
RCP02610,35.76909,10,5,5,50.0,50.0
RCP02611,1.9187399999999997,8,6,2,75.0,25.0
RCP02612,12.517287999999999,8,4,4,50.0,50.0
RCP02613,5.6083785,9,4,5,44.4,55.6
RCP02614,24.6932465,18,9,9,50.0,50.0
RCP02615,7.817020000000001,9,6,3,66.7,33.3
RCP02616,5.497812,17,9,8,52.9,47.1
RCP02617,18.089118,12,6,6,50.0,50.0
RCP02618,4.77474,7,2,5,28.6,71.4
RCP02619,8.203515,12,4,8,33.3,66.7
RCP02620,12.124166,11,5,6,45.5,54.5
RCP02621,24.301814999999998,14,8,6,57.1,42.9
RCP02622,2.726003,14,10,4,71.4,28.6
RCP02623,8.228089,16,9,7,56.2,43.8
RCP02624,21.091741999999993,17,8,9,47.1,52.9
RCP02625,2.1985300000000003,9,2,7,22.2,77.8
RCP02626,9.20632,8,3,5,37.5,62.5
RCP02627,32.021899999999995,6,2,4,33.3,66.7
RCP02628,28.255777499999997,8,4,4,50.0,50.0
RCP02629,48.87789599999999,9,5,4,55.6,44.4
RCP02630,47.019259999999996,7,5,2,71.4,28.6
RCP02631,1.7598449999999999,8,5,3,62.5,37.5
RCP02632,12.456250999999998,14,7,7,50.0,50.0
RCP02633,9.497,13,9,4,69.2,30.8
RCP02634,33.64751999999999,7,4,3,57.1,42.9
RCP02635,3.5716499999999995,10,7,3,70.0,30.0
RCP02636,4.3384095,16,7,9,43.8,56.2
RCP02637,32.3281785,8,4,4,50.0,50.0
RCP02638,1.3883990000000002,9,5,4,55.6,44.4
RCP02639,0.6874,5,3,2,60.0,40.0
RCP02640,1.444388,7,3,4,42.9,57.1
RCP02641,8.105662,8,4,4,50.0,50.0
RCP02642,41.423954499999994,13,5,8,38.5,61.5
RCP02643,15.0337,12,6,6,50.0,50.0
RCP02644,12.30831,6,3,3,50.0,50.0
RCP02645,16.439819999999997,6,4,2,66.7,33.3
RCP02646,2.421189,13,7,6,53.8,46.2
RCP02647,7.368425,14,8,6,57.1,42.9
RCP02648,16.38531,8,5,3,62.5,37.5
RCP02649,38.522029999999994,9,3,6,33.3,66.7
RCP02650,18.161189999999998,8,5,3,62.5,37.5
RCP02651,7.04137,12,4,8,33.3,66.7
RCP02652,7.93614,9,4,5,44.4,55.6
RCP02653,0.92444,5,2,3,40.0,60.0
RCP02654,2.6652349999999996,10,4,6,40.0,60.0
RCP02655,5.43087,9,4,5,44.4,55.6
RCP02656,19.655534999999997,9,4,5,44.4,55.6
RCP02657,20.05046,8,5,3,62.5,37.5
RCP02658,2.00996,7,5,2,71.4,28.6
RCP02659,4.24133,10,4,6,40.0,60.0
RCP02660,20.231879,12,7,5,58.3,41.7
RCP02661,9.065937,14,8,6,57.1,42.9
RCP02662,3.6832395000000004,7,3,4,42.9,57.1
RCP02663,18.014225,6,3,3,50.0,50.0
RCP02664,8.329960000000002,9,5,4,55.6,44.4
RCP02665,7.5262755,9,4,5,44.4,55.6
RCP02666,26.254258499999995,8,4,4,50.0,50.0
RCP02667,7.0132650000000005,10,5,5,50.0,50.0
RCP02668,6.49548,9,6,3,66.7,33.3
RCP02669,4.2508365,17,7,10,41.2,58.8
RCP02670,37.278071,10,6,4,60.0,40.0
RCP02671,1.4155699999999998,6,3,3,50.0,50.0
RCP02672,23.781556999999996,19,9,10,47.4,52.6
RCP02673,42.401506999999995,9,4,5,44.4,55.6
RCP02674,23.493044,14,8,6,57.1,42.9
RCP02675,19.0642365,12,4,8,33.3,66.7
